Column1,Column2,Column3,Column4,Column5
btw, by the way,by the way,BTW,BY THE WAY
BTW,By The Way,By The Way,BTW,BY THE WAY
bwl, bursting with laughter,bursting with laughter,BWL,BURSTING WITH LAUGHTER
c/o, care of,care of,C/O,CARE OF
cet, central european time,central european time,CET,CENTRAL EUROPEAN TIME
cf, compare,compare,CF,COMPARE
cia, central intelligence agency,central intelligence agency,CIA,CENTRAL INTELLIGENCE AGENCY
csl, can not stop laughing,can not stop laughing,CSL,CAN NOT STOP LAUGHING
cu, see you,see you,CU,SEE YOU
CU,See You,See You,CU,SEE YOU
cul8r, see you later,see you later,CUL8R,SEE YOU LATER
CUL8R,See You Later,See You Later,CUL8R,SEE YOU LATER
cv, curriculum vitae,curriculum vitae,CV,CURRICULUM VITAE
cwot, complete waste of time,complete waste of time,CWOT,COMPLETE WASTE OF TIME
cya, see you,see you,CYA,SEE YOU
CYA,See You,See You,CYA,SEE YOU
cyt, see you tomorrow,see you tomorrow,CYT,SEE YOU TOMORROW
dae, does anyone else,does anyone else,DAE,DOES ANYONE ELSE
dbmib, do not bother me i am busy,do not bother me i am busy,DBMIB,DO NOT BOTHER ME I AM BUSY
diy, do it yourself,do it yourself,DIY,DO IT YOURSELF
dm, direct message,direct message,DM,DIRECT MESSAGE
dwh, during work hours,during work hours,DWH,DURING WORK HOURS
e123, easy as one two three,easy as one two three,E123,EASY AS ONE TWO THREE
eet, eastern european time,eastern european time,EET,EASTERN EUROPEAN TIME
eg, example,example,EG,EXAMPLE
embm, early morning business meeting,early morning business meeting,EMBM,EARLY MORNING BUSINESS MEETING
encl, enclosed,enclosed,ENCL,ENCLOSED
encl., enclosed,enclosed,ENCL.,ENCLOSED
etc, and so on,and so on,ETC,AND SO ON
faq, frequently asked questions,frequently asked questions,FAQ,FREQUENTLY ASKED QUESTIONS
FAQ,Frequently Asked Questions,Frequently Asked Questions,FAQ,FREQUENTLY ASKED QUESTIONS
fawc, for anyone who cares,for anyone who cares,FAWC,FOR ANYONE WHO CARES
fb, facebook,facebook,FB,FACEBOOK
fc, fingers crossed,fingers crossed,FC,FINGERS CROSSED
FC,Fingers Crossed,Fingers Crossed,FC,FINGERS CROSSED
fig, figure,figure,FIG,FIGURE
fimh, forever in my heart,forever in my heart,FIMH,FOREVER IN MY HEART
ft, featuring,featuring,FT,FEATURING
ft., feet,feet,FT.,FEET
ftl, for the loss,for the loss,FTL,FOR THE LOSS
ftw, for the win,for the win,FTW,FOR THE WIN
fwiw, for what it is worth,for what it is worth,FWIW,FOR WHAT IT IS WORTH
FWIW,For What It's Worth,For What It's Worth,FWIW,FOR WHAT IT'S WORTH
fyi, for your information,for your information,FYI,FOR YOUR INFORMATION
FYI,For Your Information,For Your Information,FYI,FOR YOUR INFORMATION
g.o.a.t, greatest of all time,greatest of all time,G.O.A.T,GREATEST OF ALL TIME
g9, genius,genius,G9,GENIUS
G9,Genius,Genius,G9,GENIUS
gahoy, get a hold of yourself,get a hold of yourself,GAHOY,GET A HOLD OF YOURSELF
gal, get a life,get a life,GAL,GET A LIFE
GAL,Get A Life,Get A Life,GAL,GET A LIFE
gcse, general certificate of secondary education,general certificate of secondary education,GCSE,GENERAL CERTIFICATE OF SECONDARY EDUCATION
gfn, gone for now,gone for now,GFN,GONE FOR NOW
gg, good game,good game,GG,GOOD GAME
GG,Good Game,Good Game,GG,GOOD GAME
gl, good luck,good luck,GL,GOOD LUCK
glhf, good luck have fun,good luck have fun,GLHF,GOOD LUCK HAVE FUN
gmt, greenwich mean time,greenwich mean time,GMT,GREENWICH MEAN TIME
gmta, great minds think alike,great minds think alike,GMTA,GREAT MINDS THINK ALIKE
GMTA,Great Minds Think Alike,Great Minds Think Alike,GMTA,GREAT MINDS THINK ALIKE
gn, good night,good night,GN,GOOD NIGHT
GN,Good Night,Good Night,GN,GOOD NIGHT
goat, greatest of all time,greatest of all time,GOAT,GREATEST OF ALL TIME
goi, get over it,get over it,GOI,GET OVER IT
gps, global positioning system,global positioning system,GPS,GLOBAL POSITIONING SYSTEM
gr8, great,great,GR8,GREAT
GR8,Great!,Great!,GR8,GREAT!
gratz, congratulations,congratulations,GRATZ,CONGRATULATIONS
gyal, girl,girl,GYAL,GIRL
h&c, hot and cold,hot and cold,H&C,HOT AND COLD
hp, horsepower,horsepower,HP,HORSEPOWER
hr, hour,hour,HR,HOUR
hrh, his royal highness,his royal highness,HRH,HIS ROYAL HIGHNESS
ht, height,height,HT,HEIGHT
i.e, that is,that is,I.E,THAT IS
ibrb, i will be right back,i will be right back,IBRB,I WILL BE RIGHT BACK
ic, i see,i see,IC,I SEE
IC,I See,I See,IC,I SEE
icq, i seek you,i seek you,ICQ,I SEEK YOU
ICQ,I Seek you (also a chat program),I Seek you (also a chat program),ICQ,I SEEK YOU (ALSO A CHAT PROGRAM)
icymi, in case you missed it,in case you missed it,ICYMI,IN CASE YOU MISSED IT
idc, i do not care,i do not care,IDC,I DO NOT CARE
idgadf, i do not give a damn fuck,i do not give a damn fuck,IDGADF,I DO NOT GIVE A DAMN FUCK
idgaf, i do not give a fuck,i do not give a fuck,IDGAF,I DO NOT GIVE A FUCK
idk, i do not know,i do not know,IDK,I DO NOT KNOW
ie, that is,that is,IE,THAT IS
ifyp, i feel your pain,i feel your pain,IFYP,I FEEL YOUR PAIN
IG, instagram,instagram,IG,INSTAGRAM
iirc, if i remember correctly,if i remember correctly,IIRC,IF I REMEMBER CORRECTLY
ilu, i love you,i love you,ILU,I LOVE YOU
ILU,ILU: I Love You,ILU: I Love You,ILU,ILU: I LOVE YOU
ily, i love you,i love you,ILY,I LOVE YOU
imho, in my humble opinion,in my humble opinion,IMHO,IN MY HUMBLE OPINION
IMHO,In My Honest/Humble Opinion,In My Honest/Humble Opinion,IMHO,IN MY HONEST/HUMBLE OPINION
imo, in my opinion,in my opinion,IMO,IN MY OPINION
IMO,In My Opinion,In My Opinion,IMO,IN MY OPINION
imu, i miss you,i miss you,IMU,I MISS YOU
iow, in other words,in other words,IOW,IN OTHER WORDS
IOW,In Other Words,In Other Words,IOW,IN OTHER WORDS
irl, in real life,in real life,IRL,IN REAL LIFE
IRL,In Real Life,In Real Life,IRL,IN REAL LIFE
j4f, just for fun,just for fun,J4F,JUST FOR FUN
jic, just in case,just in case,JIC,JUST IN CASE
jk, just kidding,just kidding,JK,JUST KIDDING
jsyk, just so you know,just so you know,JSYK,JUST SO YOU KNOW
KISS,"Keep It Simple, Stupid","Keep It Simple, Stupid",KISS,"KEEP IT SIMPLE, STUPID"
l8r, later,later,L8R,LATER
L8R,Later,Later,L8R,LATER
lb, pound,pound,LB,POUND
lbs, pounds,pounds,LBS,POUNDS
ldr, long distance relationship,long distance relationship,LDR,LONG DISTANCE RELATIONSHIP
LDR,Long Distance Relationship,Long Distance Relationship,LDR,LONG DISTANCE RELATIONSHIP
lmao, laugh my ass off,laugh my ass off,LMAO,LAUGH MY ASS OFF
LMAO,Laugh My A.. Off,Laugh My A.. Off,LMAO,LAUGH MY A.. OFF
lmfao, laugh my fucking ass off,laugh my fucking ass off,LMFAO,LAUGH MY FUCKING ASS OFF
lol, laughing out loud,laughing out loud,LOL,LAUGHING OUT LOUD
LOL,Laughing Out Loud,Laughing Out Loud,LOL,LAUGHING OUT LOUD
ltd, limited,limited,LTD,LIMITED
ltns, long time no see,long time no see,LTNS,LONG TIME NO SEE
LTNS,Long Time No See,Long Time No See,LTNS,LONG TIME NO SEE
m8, mate,mate,M8,MATE
M8,Mate,Mate,M8,MATE
mf, motherfucker,motherfucker,MF,MOTHERFUCKER
mfs, motherfuckers,motherfuckers,MFS,MOTHERFUCKERS
mfw, my face when,my face when,MFW,MY FACE WHEN
mofo, motherfucker,motherfucker,MOFO,MOTHERFUCKER
mph, miles per hour,miles per hour,MPH,MILES PER HOUR
mr, mister,mister,MR,MISTER
mrw, my reaction when,my reaction when,MRW,MY REACTION WHEN
ms, miss,miss,MS,MISS
mte, my thoughts exactly,my thoughts exactly,MTE,MY THOUGHTS EXACTLY
MTE,My Thoughts Exactly,My Thoughts Exactly,MTE,MY THOUGHTS EXACTLY
nagi, not a good idea,not a good idea,NAGI,NOT A GOOD IDEA
nbc, national broadcasting company,national broadcasting company,NBC,NATIONAL BROADCASTING COMPANY
nbd, not big deal,not big deal,NBD,NOT BIG DEAL
nfs, not for sale,not for sale,NFS,NOT FOR SALE
ngl, not going to lie,not going to lie,NGL,NOT GOING TO LIE
nhs, national health service,national health service,NHS,NATIONAL HEALTH SERVICE
nrn, no reply necessary,no reply necessary,NRN,NO REPLY NECESSARY
NRN,No Reply Necessary,No Reply Necessary,NRN,NO REPLY NECESSARY
nsfl, not safe for life,not safe for life,NSFL,NOT SAFE FOR LIFE
nsfw, not safe for work,not safe for work,NSFW,NOT SAFE FOR WORK
nth, nice to have,nice to have,NTH,NICE TO HAVE
nvr, never,never,NVR,NEVER
nyc, new york city,new york city,NYC,NEW YORK CITY
oc, original content,original content,OC,ORIGINAL CONTENT
og, original,original,OG,ORIGINAL
ohp, overhead projector,overhead projector,OHP,OVERHEAD PROJECTOR
oic, oh i see,oh i see,OIC,OH I SEE
OIC,Oh I See,Oh I See,OIC,OH I SEE
omdb, over my dead body,over my dead body,OMDB,OVER MY DEAD BODY
omg, oh my god,oh my god,OMG,OH MY GOD
omw, on my way,on my way,OMW,ON MY WAY
p.a, per annum,per annum,P.A,PER ANNUM
p.m, after midday,after midday,P.M,AFTER MIDDAY
PITA,Pain In The A..,Pain In The A..,PITA,PAIN IN THE A..
pm, prime minister,prime minister,PM,PRIME MINISTER
poc, people of color,people of color,POC,PEOPLE OF COLOR
pov, point of view,point of view,POV,POINT OF VIEW
pp, pages,pages,PP,PAGES
ppl, people,people,PPL,PEOPLE
PRT,Party,Party,PRT,PARTY
prw, parents are watching,parents are watching,PRW,PARENTS ARE WATCHING
PRW,Parents Are Watching,Parents Are Watching,PRW,PARENTS ARE WATCHING
ps, postscript,postscript,PS,POSTSCRIPT
pt, point,point,PT,POINT
ptb, please text back,please text back,PTB,PLEASE TEXT BACK
pto, please turn over,please turn over,PTO,PLEASE TURN OVER
qpsa, what happens #que pasa,what happens #que pasa,QPSA,WHAT HAPPENS #QUE PASA
"QPSA?	Que Pasa?",,,"QPSA?	QUE PASA?",
ratchet, rude,rude,RATCHET,RUDE
rbtl, read between the lines,read between the lines,RBTL,READ BETWEEN THE LINES
rlrt, real life retweet,real life retweet,RLRT,REAL LIFE RETWEET
rofl, rolling on the floor laughing,rolling on the floor laughing,ROFL,ROLLING ON THE FLOOR LAUGHING
ROFL,Rolling On The Floor Laughing,Rolling On The Floor Laughing,ROFL,ROLLING ON THE FLOOR LAUGHING
roflol, rolling on the floor laughing out loud,rolling on the floor laughing out loud,ROFLOL,ROLLING ON THE FLOOR LAUGHING OUT LOUD
ROFLOL,Rolling On The Floor Laughing Out Loud,Rolling On The Floor Laughing Out Loud,ROFLOL,ROLLING ON THE FLOOR LAUGHING OUT LOUD
rotflmao, rolling on the floor laughing my ass off,rolling on the floor laughing my ass off,ROTFLMAO,ROLLING ON THE FLOOR LAUGHING MY ASS OFF
ROTFLMAO,Rolling On The Floor Laughing My A.. Off,Rolling On The Floor Laughing My A.. Off,ROTFLMAO,ROLLING ON THE FLOOR LAUGHING MY A.. OFF
rt, retweet,retweet,RT,RETWEET
ruok, are you ok,are you ok,RUOK,ARE YOU OK
sfw, safe for work,safe for work,SFW,SAFE FOR WORK
sk8, skate,skate,SK8,SKATE
SK8,Skate,Skate,SK8,SKATE
smh, shake my head,shake my head,SMH,SHAKE MY HEAD
sq, square,square,SQ,SQUARE
srsly, seriously,seriously,SRSLY,SERIOUSLY
ssdd, same stuff different day,same stuff different day,SSDD,SAME STUFF DIFFERENT DAY
STATS,Your sex and age,Your sex and age,STATS,YOUR SEX AND AGE
tbh, to be honest,to be honest,TBH,TO BE HONEST
tbs, tablespooful,tablespooful,TBS,TABLESPOOFUL
tbsp, tablespooful,tablespooful,TBSP,TABLESPOOFUL
tfw, that feeling when,that feeling when,TFW,THAT FEELING WHEN
thks, thank you,thank you,THKS,THANK YOU
tho, though,though,THO,THOUGH
thx, thank you,thank you,THX,THANK YOU
THX,Thank You,Thank You,THX,THANK YOU
tia, thanks in advance,thanks in advance,TIA,THANKS IN ADVANCE
til, today i learned,today i learned,TIL,TODAY I LEARNED
tl;dr, too long i did not read,too long i did not read,TL;DR,TOO LONG I DID NOT READ
tldr, too long i did not read,too long i did not read,TLDR,TOO LONG I DID NOT READ
tmb, tweet me back,tweet me back,TMB,TWEET ME BACK
tntl, trying not to laugh,trying not to laugh,TNTL,TRYING NOT TO LAUGH
TTFN,Ta-Ta For Now!,Ta-Ta For Now!,TTFN,TA-TA FOR NOW!
ttyl, talk to you later,talk to you later,TTYL,TALK TO YOU LATER
TTYL,Talk To You Later,Talk To You Later,TTYL,TALK TO YOU LATER
u, you,you,U,YOU
U,You,You,U,YOU
u2, you too,you too,U2,YOU TOO
U2,You Too,You Too,U2,YOU TOO
u4e, yours for ever,yours for ever,U4E,YOURS FOR EVER
U4E,Yours For Ever,Yours For Ever,U4E,YOURS FOR EVER
utc, coordinated universal time,coordinated universal time,UTC,COORDINATED UNIVERSAL TIME
w/, with,with,W/,WITH
w/o, without,without,W/O,WITHOUT
w8, wait,wait,W8,WAIT
W8,Wait...,Wait...,W8,WAIT...
wassup, what is up,what is up,WASSUP,WHAT IS UP
wb, welcome back,welcome back,WB,WELCOME BACK
WB,Welcome Back,Welcome Back,WB,WELCOME BACK
wtf, what the fuck,what the fuck,WTF,WHAT THE FUCK
WTF,What The F...,What The F...,WTF,WHAT THE F...
wtg, way to go,way to go,WTG,WAY TO GO
WTG,Way To Go!,Way To Go!,WTG,WAY TO GO!
wtpa, where the party at,where the party at,WTPA,WHERE THE PARTY AT
wuf, where are you from,where are you from,WUF,WHERE ARE YOU FROM
WUF,Where Are You From?,Where Are You From?,WUF,WHERE ARE YOU FROM?
wuzup, what is up,what is up,WUZUP,WHAT IS UP
wywh, wish you were here,wish you were here,WYWH,WISH YOU WERE HERE
yd, yard,yard,YD,YARD
ygtr, you got that right,you got that right,YGTR,YOU GOT THAT RIGHT
ynk, you never know,you never know,YNK,YOU NEVER KNOW
zzz, sleeping bored and tired,sleeping bored and tired,ZZZ,SLEEPING BORED AND TIRED
